time,ship_lat,ship_lon,ship_radiation,interpolated_ssi
2017-11-07 00:00:00,9.918384,-125.052475,369.48,148.29565423793383
2017-11-07 00:01:00,9.919217,-125.05179,319.42,147.2052875058715
2017-11-07 00:02:00,9.920135,-125.051285,354.35,146.1153009184349
2017-11-07 00:03:00,9.921121,-125.05092,372.89,145.02560719948556
2017-11-07 00:04:00,9.922145,-125.050674,378.18,143.93619176467433
2017-11-07 00:05:00,9.923112,-125.05028,397.35,142.84644466365802
2017-11-07 00:06:00,9.924109,-125.04991,360.91,141.75672058240076
2017-11-07 00:07:00,9.92513,-125.04956,352.21,140.66701716639346
2017-11-07 00:08:00,9.926174,-125.04936,362.17,139.57770143218875
2017-11-07 00:09:00,9.927269,-125.04932,357.12,138.48875999853357
2017-11-07 00:10:00,9.928371,-125.04935,350.44,137.40000501629112
2017-11-07 00:11:00,9.929465,-125.04945,337.83,136.31145871722197
2017-11-07 00:12:00,9.930545,-125.04959,268.6,135.22304563993004
2017-11-07 00:13:00,9.931609,-125.04974,235.06,134.13468439454957
2017-11-07 00:14:00,9.932528,-125.04991,298.74,133.04659429225543
2017-11-07 00:15:00,9.933359,-125.05003,312.99,131.958494026123
2017-11-07 00:16:00,9.934107,-125.050156,338.84,130.8705336465527
2017-11-07 00:17:00,9.934837,-125.05025,347.79,129.78250996738802
2017-11-07 00:18:00,9.93554,-125.050354,341.87,128.69455442342598
2017-11-07 00:19:00,9.936221,-125.05043,333.92,127.60655275555247
2017-11-07 00:20:00,9.936894,-125.05052,293.69,126.51860230986483
2017-11-07 00:21:00,9.937576,-125.05052,204.16,125.43038546281946
2017-11-07 00:22:00,9.937863,-125.05017,208.07,124.34176992096548
2017-11-07 00:23:00,9.937584,-125.049835,179.82,123.25403543459613
2017-11-07 00:24:00,9.936769,-125.04927,174.27,122.16644864836982
2017-11-07 00:25:00,9.935545,-125.0486,175.28,121.07917280879835
2017-11-07 00:26:00,9.933834,-125.04823,176.04,119.99346230139301
2017-11-07 00:27:00,9.931832,-125.04811,187.52,118.90888604098078
2017-11-07 00:28:00,9.929747,-125.0484,177.05,117.82558563568332
2017-11-07 00:29:00,9.927573,-125.048996,175.91,116.74327755065671
2017-11-07 00:30:00,9.925319,-125.04965,174.91,115.6612511196143
2017-11-07 00:31:00,9.923082,-125.05043,174.65,114.57955377979835
2017-11-07 00:32:00,9.920804,-125.05124,173.14,113.4980015608952
2017-11-07 00:33:00,9.918538,-125.05208,170.49,112.41651591068398
2017-11-07 00:34:00,9.916265,-125.0529,165.07,111.33498439922744
2017-11-07 00:35:00,9.913975,-125.05371,165.95,110.25344996573278
2017-11-07 00:36:00,9.911678,-125.05452,176.67,109.17192590705977
2017-11-07 00:37:00,9.909383,-125.055374,162.17,108.09052260349932
2017-11-07 00:38:00,9.907091,-125.056274,170.11,107.00924419654075
2017-11-07 00:39:00,9.904815,-125.05716,277.81,107.14393688066158
2017-11-07 00:40:00,9.902583,-125.058044,278.31,107.86539772014844
2017-11-07 00:41:00,9.90035,-125.058914,214.63,108.58662534505373
2017-11-07 00:42:00,9.898103,-125.059814,140.1,109.30837664110021
2017-11-07 00:43:00,9.89585,-125.0607,210.09,110.02990213315175
2017-11-07 00:44:00,9.893592,-125.06157,137.83,110.7511668109914
2017-11-07 00:45:00,9.891325,-125.06242,139.34,111.47210954688867
2017-11-07 00:46:00,9.889048,-125.06329,240.1,112.19340238495823
2017-11-07 00:47:00,9.886767,-125.06413,233.67,112.9141982299996
2017-11-07 00:48:00,9.884502,-125.06499,245.65,113.63530564216127
2017-11-07 00:49:00,9.882226,-125.06583,185.75,114.35609407661576
2017-11-07 00:50:00,9.879948,-125.066666,198.99,115.07681841910497
2017-11-07 00:51:00,9.877675,-125.067505,258.89,115.79758564315716
2017-11-07 00:52:00,9.875418,-125.06833,226.23,116.51809445663245
2017-11-07 00:53:00,9.873132,-125.06915,176.67,116.82016346009932
2017-11-07 00:54:00,9.870829,-125.06999,231.9,115.70009583806191
2017-11-07 00:55:00,9.868553,-125.070816,243.38,114.5797189463774
2017-11-07 00:56:00,9.866265,-125.07161,227.62,113.45897790399496
2017-11-07 00:57:00,9.863966,-125.0724,216.65,112.33823551518756
2017-11-07 00:58:00,9.861679,-125.0732,196.34,111.21756856322038
2017-11-07 00:59:00,9.859404,-125.073975,189.28,110.09651773059203
2017-11-07 01:00:00,9.857078,-125.07469,190.42,108.9749166326421
2017-11-07 01:01:00,9.85474,-125.07539,174.91,108.84118871754637
2017-11-07 01:02:00,9.852419,-125.076096,176.8,109.0006662142354
2017-11-07 01:03:00,9.850105,-125.07681,163.05,109.16021662835988
